,command,type,SequenceNumber,preamble,TimeofDay,AmbientTemperature,RelativeHumidity,BarometricPressure,WindSpeed,WindDirection,NumberofLoopsTemps,TimelineName1,Temperature1,TimelineName2,Temperature2,TimelineName3,Temperature3,TimelineName4,Temperature4,HeatIndex,DewPoint
0,$WÂ,NÂ,31Â,R.IÂ,1AD3ED56Â,4EÂ,3FÂ,B65Â,4Â,10Â,4Â,T1TÂ,F8CÂ,T2TÂ,EA6Â,T3Â,FDCÂ,T4TÂ,10E0Â,4EÂ,40
1,$WÂ,NÂ,32Â,R.IÂ,1ADD15D4Â,4EÂ,3FÂ,B65Â,3Â,50Â,4Â,T1TÂ,F82Â,T2TÂ,E92Â,T3Â,FDCÂ,T4TÂ,10E0Â,4EÂ,40
2,$WÂ,NÂ,33Â,R.IÂ,1AE63D44Â,4EÂ,3FÂ,B65Â,2Â,30Â,4Â,T1TÂ,F82Â,T2TÂ,E88Â,T3Â,FDCÂ,T4TÂ,10E0Â,4EÂ,40
3,$WÂ,NÂ,34Â,R.IÂ,1AEF64FAÂ,4EÂ,3FÂ,B65Â,3Â,0Â,4Â,T1TÂ,F82Â,T2TÂ,E7EÂ,T3Â,FDCÂ,T4TÂ,10CCÂ,4EÂ,40
4,$WÂ,NÂ,35Â,R.IÂ,1AF88D0AÂ,4EÂ,3FÂ,B65Â,5Â,10Â,4Â,T1TÂ,F82Â,T2TÂ,E74Â,T3Â,FC8Â,T4TÂ,10CCÂ,4EÂ,40
5,$WÂ,NÂ,36Â,R.IÂ,1B01B3D0Â,4EÂ,3FÂ,B65Â,4Â,10Â,4Â,T1TÂ,F82Â,T2TÂ,E74Â,T3Â,FC8Â,T4TÂ,10CCÂ,4EÂ,40
6,$WÂ,NÂ,1Â,R.IÂ,1B10BC54Â,4EÂ,3FÂ,B65Â,4Â,10Â,4Â,T1TÂ,F82Â,T2TÂ,E6AÂ,T3Â,FBEÂ,T4TÂ,10C2Â,4EÂ,40
7,$WÂ,NÂ,2Â,R.IÂ,1B19E3ECÂ,4EÂ,3FÂ,B65Â,4Â,0Â,4Â,T1TÂ,F82Â,T2TÂ,E74Â,T3Â,FBEÂ,T4TÂ,10C2Â,4EÂ,40
8,$WÂ,NÂ,3Â,R.IÂ,1B230C24Â,4EÂ,3FÂ,B65Â,3Â,0Â,4Â,T1TÂ,F82Â,T2TÂ,E6AÂ,T3Â,FBEÂ,T4TÂ,10C2Â,4EÂ,40
9,$WÂ,NÂ,4Â,R.IÂ,1B2C3402Â,4EÂ,3FÂ,B65Â,5Â,0Â,4Â,T1TÂ,F82Â,T2TÂ,E6AÂ,T3Â,FBEÂ,T4TÂ,10C2Â,4EÂ,40
